Month and Year,industries,number
July 2012,Air transportation,904
July 2012,Warehousing and support activities for transport,82
July 2012,Post and courier services,51
July 2012,Operation of accommodation,34
July 2012,Catering and service,119
July 2012,Publishing activities,131
July 2012,Production of films; videos and television material; audio recording and music publishing,193
July 2012,Radio and television broadcasting; programming,456
July 2012,Telecommunications,77
July 2012,Information technology services,25
July 2012,Information service activities,34
July 2012,Financial services; excluding the activities of insurance companies and pension funds,74
July 2012,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,74
July 2012,Activities related to financial services and insurance,14
July 2012,Real estate,208
July 2012,Legal services and accounting,17
July 2012,Headquarters operations; operations consultancy activities,21
July 2012,Activities of architects and engineers; technical tests and analysis,99
July 2012,Scientific research and development,49
July 2012,Advertising and marketing research,28
July 2012,Other professional; scientific and technical activities,78
July 2012,Veterinary medicine,37
July 2012,Rental activities; except real estate leasing,32
July 2012,Employment agency,20
July 2012,Travel agencies; tour operators and other booking services,3
July 2012,Security and research activities,31
July 2012,Real estate management; cleaning services and ornamental gardening,3
July 2012,Office services and other business services,36
July 2012,Public administration; defense and social security,71
July 2012,Educational activities,382
July 2012,Health care,59
July 2012,Care in residential homes,79
July 2012,Social services without a stay in an institution,413
July 2012,Creative arts and entertainment,233
July 2012,Museum activities and other cultural activities,202
July 2012,Financial risk and betting activities,44
July 2012,Sports and leisure activities,43
July 2012,Activities of NGOs,25
July 2012,Repair of computers and objects for personal and household use,4
July 2012,Other service activities,129
July 2012,Housekeeping with paid staff,149
July 2012,Service activities and home production of various products for personal use,10
July 2012,Activities of extra territorial organisations and bodies,132
July 2012,Working from home,
July 2012,Student,
July 2012,No work history,
July 2012,Uncertain,867
August 2012,Cultivation of crops and animal husbandry; hunting and related service activities,92
August 2012,Forestry and logging,4
August 2012,Fishing and aquaculture,243
August 2012,Coal mining,
August 2012,Crude oil and natural gas production,
August 2012,Metallurgy and metallurgy,1
August 2012,Mining and processing of other raw materials from the ground,2
August 2012,Mining services,
August 2012,Food production,363
August 2012,Manufacture of beverages,268
August 2012,Manufacture of textiles,26
August 2012,Clothing making,
August 2012,Manufacture of leather and leather products,10
August 2012,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,22
August 2012,Manufacture of paper and paper products,7
August 2012,Printing and duplication of recorded material,24
August 2012,Production of coke and refined petroleum products,5
August 2012,Manufacture of chemicals and chemical products,47
August 2012,Manufacture of pharmaceutical preparations and preparations,2
August 2012,Manufacture of rubber and plastic products,21
August 2012,Manufacture of non-metallic mineral products,20
August 2012,Manufacture of basic metals,33
August 2012,Manufacture of fabricated metal products; except machinery and equipment,67
August 2012,Manufacture of computer; electronic and optical products,63
August 2012,Manufacture of electrical and household appliances,60
August 2012,Manufacture of other machinery and equipment nec,1
August 2012,Manufacture of motor vehicles and trailers,2
August 2012,Manufacture of other vehicles,18
August 2012,Manufacture of furniture and fittings,3
August 2012,Production; nec,13
August 2012,Repair and installation of hardware and equipment,21
August 2012,Electricity; gas and heating utilities; refrigeration and ventilation systems,33
August 2012,Water supply; collection and treatment of water,20
August 2012,Garbage collection; treatment and disposal of waste; material reuse,49
August 2012,Decontamination and other waste treatment services,
August 2012,Housing construction; development of construction projects,
August 2012,Civil engineering,43
August 2012,Specialized construction activities,
August 2012,Sale; repair and maintenance of motor vehicles and trailers,425
August 2012,Wholesale trade; except of motor vehicles and motorcycles,38
August 2012,Retail trade; except of motor vehicles and motorcycles,265
August 2012,Land transport and by pipeline,158
August 2012,Transport by sea and waterways,432
August 2012,Air transportation,840
August 2012,Warehousing and support activities for transport,80
August 2012,Post and courier services,54
August 2012,Operation of accommodation,38
August 2012,Catering and service,108
August 2012,Publishing activities,130
August 2012,Production of films; videos and television material; audio recording and music publishing,192
August 2012,Radio and television broadcasting; programming,416
August 2012,Telecommunications,68
August 2012,Information technology services,23
August 2012,Information service activities,33
August 2012,Financial services; excluding the activities of insurance companies and pension funds,69
August 2012,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,76
August 2012,Activities related to financial services and insurance,13
August 2012,Real estate,203
August 2012,Legal services and accounting,17
August 2012,Headquarters operations; operations consultancy activities,19
August 2012,Activities of architects and engineers; technical tests and analysis,106
August 2012,Scientific research and development,49
August 2012,Advertising and marketing research,31
August 2012,Other professional; scientific and technical activities,68
August 2012,Veterinary medicine,33
August 2012,Rental activities; except real estate leasing,25
August 2012,Employment agency,23
August 2012,Travel agencies; tour operators and other booking services,3
August 2012,Security and research activities,32
August 2012,Real estate management; cleaning services and ornamental gardening,3
August 2012,Office services and other business services,34
August 2012,Public administration; defense and social security,70
August 2012,Educational activities,373
August 2012,Health care,54
August 2012,Care in residential homes,67
August 2012,Social services without a stay in an institution,350
August 2012,Creative arts and entertainment,231
August 2012,Museum activities and other cultural activities,192
August 2012,Financial risk and betting activities,46
August 2012,Sports and leisure activities,42
August 2012,Activities of NGOs,27
August 2012,Repair of computers and objects for personal and household use,3
August 2012,Other service activities,121
August 2012,Housekeeping with paid staff,137
August 2012,Service activities and home production of various products for personal use,9
August 2012,Activities of extra territorial organisations and bodies,129
August 2012,Working from home,
August 2012,Student,
August 2012,No work history,
August 2012,Uncertain,808
September 2012,Cultivation of crops and animal husbandry; hunting and related service activities,90
September 2012,Forestry and logging,5
September 2012,Fishing and aquaculture,241
September 2012,Coal mining,
September 2012,Crude oil and natural gas production,
September 2012,Metallurgy and metallurgy,1
September 2012,Mining and processing of other raw materials from the ground,1
September 2012,Mining services,
September 2012,Food production,353
September 2012,Manufacture of beverages,243
September 2012,Manufacture of textiles,22
September 2012,Clothing making,
September 2012,Manufacture of leather and leather products,9
September 2012,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,17
September 2012,Manufacture of paper and paper products,7
September 2012,Printing and duplication of recorded material,21
September 2012,Production of coke and refined petroleum products,4
September 2012,Manufacture of chemicals and chemical products,46
September 2012,Manufacture of pharmaceutical preparations and preparations,2
September 2012,Manufacture of rubber and plastic products,19
September 2012,Manufacture of non-metallic mineral products,16
September 2012,Manufacture of basic metals,32
September 2012,Manufacture of fabricated metal products; except machinery and equipment,73
September 2012,Manufacture of computer; electronic and optical products,71
September 2012,Manufacture of electrical and household appliances,65
September 2012,Manufacture of other machinery and equipment nec,2
September 2012,Manufacture of motor vehicles and trailers,1
September 2012,Manufacture of other vehicles,17
September 2012,Manufacture of furniture and fittings,2
September 2012,Production; nec,12
September 2012,Repair and installation of hardware and equipment,21
September 2012,Electricity; gas and heating utilities; refrigeration and ventilation systems,27
September 2012,Water supply; collection and treatment of water,18
September 2012,Garbage collection; treatment and disposal of waste; material reuse,54
September 2012,Decontamination and other waste treatment services,
September 2012,Housing construction; development of construction projects,
September 2012,Civil engineering,43
September 2012,Specialized construction activities,
September 2012,Sale; repair and maintenance of motor vehicles and trailers,402
September 2012,Wholesale trade; except of motor vehicles and motorcycles,38
September 2012,Retail trade; except of motor vehicles and motorcycles,279
September 2012,Land transport and by pipeline,160
September 2012,Transport by sea and waterways,433
September 2012,Air transportation,799
September 2012,Warehousing and support activities for transport,82
September 2012,Post and courier services,59
September 2012,Operation of accommodation,63
September 2012,Catering and service,132
September 2012,Publishing activities,123
September 2012,Production of films; videos and television material; audio recording and music publishing,214
September 2012,Radio and television broadcasting; programming,378
September 2012,Telecommunications,65
September 2012,Information technology services,22
September 2012,Information service activities,24
September 2012,Financial services; excluding the activities of insurance companies and pension funds,72
September 2012,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,71
September 2012,Activities related to financial services and insurance,12
September 2012,Real estate,192
September 2012,Legal services and accounting,17
September 2012,Headquarters operations; operations consultancy activities,15
September 2012,Activities of architects and engineers; technical tests and analysis,104
September 2012,Scientific research and development,51
September 2012,Advertising and marketing research,33
September 2012,Other professional; scientific and technical activities,66
September 2012,Veterinary medicine,37
September 2012,Rental activities; except real estate leasing,24
September 2012,Employment agency,18
September 2012,Travel agencies; tour operators and other booking services,3
September 2012,Security and research activities,35
September 2012,Real estate management; cleaning services and ornamental gardening,4
September 2012,Office services and other business services,55
September 2012,Public administration; defense and social security,63
September 2012,Educational activities,371
September 2012,Health care,62
September 2012,Care in residential homes,68
September 2012,Social services without a stay in an institution,319
September 2012,Creative arts and entertainment,225
September 2012,Museum activities and other cultural activities,203
September 2012,Financial risk and betting activities,44
September 2012,Sports and leisure activities,43
September 2012,Activities of NGOs,30
September 2012,Repair of computers and objects for personal and household use,4
September 2012,Other service activities,117
September 2012,Housekeeping with paid staff,137
September 2012,Service activities and home production of various products for personal use,10
September 2012,Activities of extra territorial organisations and bodies,127
September 2012,Working from home,
September 2012,Student,
September 2012,No work history,
September 2012,Uncertain,748
October 2012,Cultivation of crops and animal husbandry; hunting and related service activities,90
October 2012,Forestry and logging,3
October 2012,Fishing and aquaculture,250
October 2012,Coal mining,
October 2012,Crude oil and natural gas production,
October 2012,Metallurgy and metallurgy,
October 2012,Mining and processing of other raw materials from the ground,3
October 2012,Mining services,
October 2012,Food production,406
October 2012,Manufacture of beverages,263
October 2012,Manufacture of textiles,23
October 2012,Clothing making,
October 2012,Manufacture of leather and leather products,9
October 2012,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,18
October 2012,Manufacture of paper and paper products,7
October 2012,Printing and duplication of recorded material,27
October 2012,Production of coke and refined petroleum products,2
October 2012,Manufacture of chemicals and chemical products,49
October 2012,Manufacture of pharmaceutical preparations and preparations,1
October 2012,Manufacture of rubber and plastic products,23
October 2012,Manufacture of non-metallic mineral products,21
October 2012,Manufacture of basic metals,29
October 2012,Manufacture of fabricated metal products; except machinery and equipment,77
October 2012,Manufacture of computer; electronic and optical products,69
October 2012,Manufacture of electrical and household appliances,63
October 2012,Manufacture of other machinery and equipment nec,2
October 2012,Manufacture of motor vehicles and trailers,1
October 2012,Manufacture of other vehicles,20
October 2012,Manufacture of furniture and fittings,2
October 2012,Production; nec,11
October 2012,Repair and installation of hardware and equipment,20
October 2012,Electricity; gas and heating utilities; refrigeration and ventilation systems,25
October 2012,Water supply; collection and treatment of water,22
October 2012,Garbage collection; treatment and disposal of waste; material reuse,56
October 2012,Decontamination and other waste treatment services,
October 2012,Housing construction; development of construction projects,
October 2012,Civil engineering,46
October 2012,Specialized construction activities,
October 2012,Sale; repair and maintenance of motor vehicles and trailers,387
October 2012,Wholesale trade; except of motor vehicles and motorcycles,41
October 2012,Retail trade; except of motor vehicles and motorcycles,295
October 2012,Land transport and by pipeline,170
October 2012,Transport by sea and waterways,443
October 2012,Air transportation,828
October 2012,Warehousing and support activities for transport,103
October 2012,Post and courier services,64
October 2012,Operation of accommodation,69
October 2012,Catering and service,147
October 2012,Publishing activities,121
October 2012,Production of films; videos and television material; audio recording and music publishing,265
October 2012,Radio and television broadcasting; programming,409
October 2012,Telecommunications,61
October 2012,Information technology services,21
October 2012,Information service activities,23
October 2012,Financial services; excluding the activities of insurance companies and pension funds,72
October 2012,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,71
October 2012,Activities related to financial services and insurance,11
October 2012,Real estate,208
October 2012,Legal services and accounting,18
October 2012,Headquarters operations; operations consultancy activities,15
October 2012,Activities of architects and engineers; technical tests and analysis,104
October 2012,Scientific research and development,51
October 2012,Advertising and marketing research,34
October 2012,Other professional; scientific and technical activities,68
October 2012,Veterinary medicine,34
October 2012,Rental activities; except real estate leasing,24
October 2012,Employment agency,22
October 2012,Travel agencies; tour operators and other booking services,5
October 2012,Security and research activities,42
October 2012,Real estate management; cleaning services and ornamental gardening,3
October 2012,Office services and other business services,67
October 2012,Public administration; defense and social security,60
October 2012,Educational activities,388
October 2012,Health care,51
October 2012,Care in residential homes,66
October 2012,Social services without a stay in an institution,309
October 2012,Creative arts and entertainment,224
October 2012,Museum activities and other cultural activities,203
October 2012,Financial risk and betting activities,39
October 2012,Sports and leisure activities,40
October 2012,Activities of NGOs,33
October 2012,Repair of computers and objects for personal and household use,5
October 2012,Other service activities,149
October 2012,Housekeeping with paid staff,141
October 2012,Service activities and home production of various products for personal use,12
October 2012,Activities of extra territorial organisations and bodies,122
October 2012,Working from home,
October 2012,Student,
October 2012,No work history,
October 2012,Uncertain,816
November 2012,Cultivation of crops and animal husbandry; hunting and related service activities,102
November 2012,Forestry and logging,3
November 2012,Fishing and aquaculture,276
November 2012,Coal mining,
November 2012,Crude oil and natural gas production,
November 2012,Metallurgy and metallurgy,
November 2012,Mining and processing of other raw materials from the ground,5
November 2012,Mining services,
November 2012,Food production,439
November 2012,Manufacture of beverages,316
November 2012,Manufacture of textiles,27
November 2012,Clothing making,
November 2012,Manufacture of leather and leather products,8
November 2012,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,20
November 2012,Manufacture of paper and paper products,7
November 2012,Printing and duplication of recorded material,26
November 2012,Production of coke and refined petroleum products,2
November 2012,Manufacture of chemicals and chemical products,48
November 2012,Manufacture of pharmaceutical preparations and preparations,1
November 2012,Manufacture of rubber and plastic products,22
November 2012,Manufacture of non-metallic mineral products,22
November 2012,Manufacture of basic metals,32
November 2012,Manufacture of fabricated metal products; except machinery and equipment,74
November 2012,Manufacture of computer; electronic and optical products,64
November 2012,Manufacture of electrical and household appliances,70
November 2012,Manufacture of other machinery and equipment nec,2
November 2012,Manufacture of motor vehicles and trailers,1
November 2012,Manufacture of other vehicles,18
November 2012,Manufacture of furniture and fittings,2
November 2012,Production; nec,12
November 2012,Repair and installation of hardware and equipment,20
November 2012,Electricity; gas and heating utilities; refrigeration and ventilation systems,28
November 2012,Water supply; collection and treatment of water,24
November 2012,Garbage collection; treatment and disposal of waste; material reuse,57
November 2012,Decontamination and other waste treatment services,
November 2012,Housing construction; development of construction projects,
November 2012,Civil engineering,44
November 2012,Specialized construction activities,
November 2012,Sale; repair and maintenance of motor vehicles and trailers,415
November 2012,Wholesale trade; except of motor vehicles and motorcycles,51
November 2012,Retail trade; except of motor vehicles and motorcycles,335
November 2012,Land transport and by pipeline,179
November 2012,Transport by sea and waterways,473
November 2012,Air transportation,849
November 2012,Warehousing and support activities for transport,111
November 2012,Post and courier services,66
November 2012,Operation of accommodation,120
November 2012,Catering and service,184
November 2012,Publishing activities,113
November 2012,Production of films; videos and television material; audio recording and music publishing,275
November 2012,Radio and television broadcasting; programming,427
November 2012,Telecommunications,61
November 2012,Information technology services,22
November 2012,Information service activities,23
November 2012,Financial services; excluding the activities of insurance companies and pension funds,68
November 2012,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,76
November 2012,Activities related to financial services and insurance,17
November 2012,Real estate,220
November 2012,Legal services and accounting,19
November 2012,Headquarters operations; operations consultancy activities,15
November 2012,Activities of architects and engineers; technical tests and analysis,106
November 2012,Scientific research and development,61
November 2012,Advertising and marketing research,37
November 2012,Other professional; scientific and technical activities,69
November 2012,Veterinary medicine,36
November 2012,Rental activities; except real estate leasing,26
November 2012,Employment agency,24
November 2012,Travel agencies; tour operators and other booking services,5
November 2012,Security and research activities,40
November 2012,Real estate management; cleaning services and ornamental gardening,3
November 2012,Office services and other business services,78
November 2012,Public administration; defense and social security,65
November 2012,Educational activities,387
November 2012,Health care,48
November 2012,Care in residential homes,64
November 2012,Social services without a stay in an institution,301
November 2012,Creative arts and entertainment,231
November 2012,Museum activities and other cultural activities,204
November 2012,Financial risk and betting activities,40
November 2012,Sports and leisure activities,44
November 2012,Activities of NGOs,36
November 2012,Repair of computers and objects for personal and household use,4
November 2012,Other service activities,161
November 2012,Housekeeping with paid staff,131
November 2012,Service activities and home production of various products for personal use,15
November 2012,Activities of extra territorial organisations and bodies,124
November 2012,Working from home,
November 2012,Student,
November 2012,No work history,
November 2012,Uncertain,828
December 2012,Cultivation of crops and animal husbandry; hunting and related service activities,109
December 2012,Forestry and logging,3
December 2012,Fishing and aquaculture,346
December 2012,Coal mining,
December 2012,Crude oil and natural gas production,
December 2012,Metallurgy and metallurgy,
December 2012,Mining and processing of other raw materials from the ground,5
December 2012,Mining services,
December 2012,Food production,516
December 2012,Manufacture of beverages,322
December 2012,Manufacture of textiles,25
December 2012,Clothing making,
December 2012,Manufacture of leather and leather products,9
December 2012,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,21
December 2012,Manufacture of paper and paper products,7
December 2012,Printing and duplication of recorded material,28
December 2012,Production of coke and refined petroleum products,2
December 2012,Manufacture of chemicals and chemical products,48
December 2012,Manufacture of pharmaceutical preparations and preparations,1
December 2012,Manufacture of rubber and plastic products,21
December 2012,Manufacture of non-metallic mineral products,20
December 2012,Manufacture of basic metals,34
December 2012,Manufacture of fabricated metal products; except machinery and equipment,78
December 2012,Manufacture of computer; electronic and optical products,67
December 2012,Manufacture of electrical and household appliances,67
December 2012,Manufacture of other machinery and equipment nec,3
December 2012,Manufacture of motor vehicles and trailers,2
December 2012,Manufacture of other vehicles,16
December 2012,Manufacture of furniture and fittings,3
December 2012,Production; nec,15
December 2012,Repair and installation of hardware and equipment,21
December 2012,Electricity; gas and heating utilities; refrigeration and ventilation systems,31
December 2012,Water supply; collection and treatment of water,30
December 2012,Garbage collection; treatment and disposal of waste; material reuse,56
December 2012,Decontamination and other waste treatment services,1
December 2012,Housing construction; development of construction projects,
December 2012,Civil engineering,45
December 2012,Specialized construction activities,
December 2012,Sale; repair and maintenance of motor vehicles and trailers,440
December 2012,Wholesale trade; except of motor vehicles and motorcycles,45
December 2012,Retail trade; except of motor vehicles and motorcycles,379
December 2012,Land transport and by pipeline,189
December 2012,Transport by sea and waterways,494
December 2012,Air transportation,873
December 2012,Warehousing and support activities for transport,124
December 2012,Post and courier services,64
December 2012,Operation of accommodation,127
December 2012,Catering and service,189
December 2012,Publishing activities,118
December 2012,Production of films; videos and television material; audio recording and music publishing,288
December 2012,Radio and television broadcasting; programming,449
December 2012,Telecommunications,64
December 2012,Information technology services,21
December 2012,Information service activities,25
December 2012,Financial services; excluding the activities of insurance companies and pension funds,70
December 2012,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,76
December 2012,Activities related to financial services and insurance,14
December 2012,Real estate,230
December 2012,Legal services and accounting,20
December 2012,Headquarters operations; operations consultancy activities,15
December 2012,Activities of architects and engineers; technical tests and analysis,101
December 2012,Scientific research and development,65
December 2012,Advertising and marketing research,41
December 2012,Other professional; scientific and technical activities,76
December 2012,Veterinary medicine,35
December 2012,Rental activities; except real estate leasing,23
December 2012,Employment agency,26
December 2012,Travel agencies; tour operators and other booking services,5
December 2012,Security and research activities,40
December 2012,Real estate management; cleaning services and ornamental gardening,4
December 2012,Office services and other business services,72
December 2012,Public administration; defense and social security,64
December 2012,Educational activities,416
December 2012,Health care,45
December 2012,Care in residential homes,66
December 2012,Social services without a stay in an institution,322
December 2012,Creative arts and entertainment,227
December 2012,Museum activities and other cultural activities,202
December 2012,Financial risk and betting activities,43
December 2012,Sports and leisure activities,43
December 2012,Activities of NGOs,35
December 2012,Repair of computers and objects for personal and household use,5
December 2012,Other service activities,155
December 2012,Housekeeping with paid staff,131
December 2012,Service activities and home production of various products for personal use,12
December 2012,Activities of extra territorial organisations and bodies,123
December 2012,Working from home,
December 2012,Student,
December 2012,No work history,
December 2012,Uncertain,846
January 2013,Cultivation of crops and animal husbandry; hunting and related service activities,107
January 2013,Forestry and logging,5
January 2013,Fishing and aquaculture,312
January 2013,Coal mining,
January 2013,Crude oil and natural gas production,
January 2013,Metallurgy and metallurgy,
January 2013,Mining and processing of other raw materials from the ground,4
January 2013,Mining services,
January 2013,Food production,488
January 2013,Manufacture of beverages,324
January 2013,Manufacture of textiles,35
January 2013,Clothing making,
January 2013,Manufacture of leather and leather products,11
January 2013,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,21
January 2013,Manufacture of paper and paper products,5
January 2013,Printing and duplication of recorded material,28
January 2013,Production of coke and refined petroleum products,2
January 2013,Manufacture of chemicals and chemical products,46
January 2013,Manufacture of pharmaceutical preparations and preparations,1
January 2013,Manufacture of rubber and plastic products,20
January 2013,Manufacture of non-metallic mineral products,24
January 2013,Manufacture of basic metals,32
January 2013,Manufacture of fabricated metal products; except machinery and equipment,69
January 2013,Manufacture of computer; electronic and optical products,76
January 2013,Manufacture of electrical and household appliances,62
January 2013,Manufacture of other machinery and equipment nec,4
January 2013,Manufacture of motor vehicles and trailers,2
January 2013,Manufacture of other vehicles,20
January 2013,Manufacture of furniture and fittings,3
January 2013,Production; nec,14
January 2013,Repair and installation of hardware and equipment,15
January 2013,Electricity; gas and heating utilities; refrigeration and ventilation systems,29
January 2013,Water supply; collection and treatment of water,26
January 2013,Garbage collection; treatment and disposal of waste; material reuse,55
January 2013,Decontamination and other waste treatment services,
January 2013,Housing construction; development of construction projects,
January 2013,Civil engineering,44
January 2013,Specialized construction activities,
January 2013,Sale; repair and maintenance of motor vehicles and trailers,393
January 2013,Wholesale trade; except of motor vehicles and motorcycles,42
January 2013,Retail trade; except of motor vehicles and motorcycles,359
January 2013,Land transport and by pipeline,178
January 2013,Transport by sea and waterways,467
January 2013,Air transportation,850
January 2013,Warehousing and support activities for transport,109
January 2013,Post and courier services,63
January 2013,Operation of accommodation,121
January 2013,Catering and service,182
January 2013,Publishing activities,112
January 2013,Production of films; videos and television material; audio recording and music publishing,297
January 2013,Radio and television broadcasting; programming,466
January 2013,Telecommunications,61
January 2013,Information technology services,22
January 2013,Information service activities,23
January 2013,Financial services; excluding the activities of insurance companies and pension funds,61
January 2013,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,67
January 2013,Activities related to financial services and insurance,14
January 2013,Real estate,233
January 2013,Legal services and accounting,18
January 2013,Headquarters operations; operations consultancy activities,13
January 2013,Activities of architects and engineers; technical tests and analysis,84
January 2013,Scientific research and development,54
January 2013,Advertising and marketing research,43
January 2013,Other professional; scientific and technical activities,65
January 2013,Veterinary medicine,37
January 2013,Rental activities; except real estate leasing,24
January 2013,Employment agency,34
January 2013,Travel agencies; tour operators and other booking services,6
January 2013,Security and research activities,41
January 2013,Real estate management; cleaning services and ornamental gardening,7
January 2013,Office services and other business services,67
January 2013,Public administration; defense and social security,67
January 2013,Educational activities,414
January 2013,Health care,52
January 2013,Care in residential homes,67
January 2013,Social services without a stay in an institution,343
January 2013,Creative arts and entertainment,224
January 2013,Museum activities and other cultural activities,219
January 2013,Financial risk and betting activities,45
January 2013,Sports and leisure activities,42
January 2013,Activities of NGOs,36
January 2013,Repair of computers and objects for personal and household use,4
January 2013,Other service activities,142
January 2013,Housekeeping with paid staff,126
January 2013,Service activities and home production of various products for personal use,15
January 2013,Activities of extra territorial organisations and bodies,117
January 2013,Working from home,2
January 2013,Student,
January 2013,No work history,
January 2013,Uncertain,877
February 2013,Cultivation of crops and animal husbandry; hunting and related service activities,115
February 2013,Forestry and logging,6
February 2013,Fishing and aquaculture,306
February 2013,Coal mining,1
February 2013,Crude oil and natural gas production,
February 2013,Metallurgy and metallurgy,
February 2013,Mining and processing of other raw materials from the ground,3
February 2013,Mining services,
February 2013,Food production,455
February 2013,Manufacture of beverages,321
February 2013,Manufacture of textiles,35
February 2013,Clothing making,
February 2013,Manufacture of leather and leather products,10
February 2013,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,23
February 2013,Manufacture of paper and paper products,5
February 2013,Printing and duplication of recorded material,27
February 2013,Production of coke and refined petroleum products,3
February 2013,Manufacture of chemicals and chemical products,45
February 2013,Manufacture of pharmaceutical preparations and preparations,1
February 2013,Manufacture of rubber and plastic products,20
February 2013,Manufacture of non-metallic mineral products,22
February 2013,Manufacture of basic metals,32
February 2013,Manufacture of fabricated metal products; except machinery and equipment,71
February 2013,Manufacture of computer; electronic and optical products,79
February 2013,Manufacture of electrical and household appliances,61
February 2013,Manufacture of other machinery and equipment nec,3
February 2013,Manufacture of motor vehicles and trailers,2
February 2013,Manufacture of other vehicles,16
February 2013,Manufacture of furniture and fittings,2
February 2013,Production; nec,12
February 2013,Repair and installation of hardware and equipment,12
February 2013,Electricity; gas and heating utilities; refrigeration and ventilation systems,26
February 2013,Water supply; collection and treatment of water,27
February 2013,Garbage collection; treatment and disposal of waste; material reuse,51
February 2013,Decontamination and other waste treatment services,
February 2013,Housing construction; development of construction projects,
February 2013,Civil engineering,44
February 2013,Specialized construction activities,
February 2013,Sale; repair and maintenance of motor vehicles and trailers,408
February 2013,Wholesale trade; except of motor vehicles and motorcycles,40
February 2013,Retail trade; except of motor vehicles and motorcycles,338
February 2013,Land transport and by pipeline,189
February 2013,Transport by sea and waterways,453
February 2013,Air transportation,866
February 2013,Warehousing and support activities for transport,104
February 2013,Post and courier services,58
February 2013,Operation of accommodation,141
February 2013,Catering and service,180
February 2013,Publishing activities,117
February 2013,Production of films; videos and television material; audio recording and music publishing,279
February 2013,Radio and television broadcasting; programming,456
February 2013,Telecommunications,56
February 2013,Information technology services,21
February 2013,Information service activities,24
February 2013,Financial services; excluding the activities of insurance companies and pension funds,63
February 2013,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,72
February 2013,Activities related to financial services and insurance,15
February 2013,Real estate,243
February 2013,Legal services and accounting,20
February 2013,Headquarters operations; operations consultancy activities,13
February 2013,Activities of architects and engineers; technical tests and analysis,80
February 2013,Scientific research and development,56
February 2013,Advertising and marketing research,46
February 2013,Other professional; scientific and technical activities,61
February 2013,Veterinary medicine,43
February 2013,Rental activities; except real estate leasing,23
February 2013,Employment agency,29
February 2013,Travel agencies; tour operators and other booking services,7
February 2013,Security and research activities,37
February 2013,Real estate management; cleaning services and ornamental gardening,6
February 2013,Office services and other business services,68
February 2013,Public administration; defense and social security,65
February 2013,Educational activities,390
February 2013,Health care,53
February 2013,Care in residential homes,69
February 2013,Social services without a stay in an institution,327
February 2013,Creative arts and entertainment,211
February 2013,Museum activities and other cultural activities,205
February 2013,Financial risk and betting activities,50
February 2013,Sports and leisure activities,38
February 2013,Activities of NGOs,35
February 2013,Repair of computers and objects for personal and household use,4
February 2013,Other service activities,133
February 2013,Housekeeping with paid staff,122
February 2013,Service activities and home production of various products for personal use,14
February 2013,Activities of extra territorial organisations and bodies,120
February 2013,Working from home,2
February 2013,Student,
February 2013,No work history,
February 2013,Uncertain,880
March 2013,Cultivation of crops and animal husbandry; hunting and related service activities,105
March 2013,Forestry and logging,6
March 2013,Fishing and aquaculture,297
March 2013,Coal mining,1
March 2013,Crude oil and natural gas production,
March 2013,Metallurgy and metallurgy,1
March 2013,Mining and processing of other raw materials from the ground,3
March 2013,Mining services,
March 2013,Food production,462
March 2013,Manufacture of beverages,322
March 2013,Manufacture of textiles,32
March 2013,Clothing making,
March 2013,Manufacture of leather and leather products,11
March 2013,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,23
March 2013,Manufacture of paper and paper products,6
March 2013,Printing and duplication of recorded material,28
March 2013,Production of coke and refined petroleum products,4
March 2013,Manufacture of chemicals and chemical products,45
March 2013,Manufacture of pharmaceutical preparations and preparations,1
March 2013,Manufacture of rubber and plastic products,19
March 2013,Manufacture of non-metallic mineral products,22
March 2013,Manufacture of basic metals,31
March 2013,Manufacture of fabricated metal products; except machinery and equipment,68
March 2013,Manufacture of computer; electronic and optical products,80
March 2013,Manufacture of electrical and household appliances,57
March 2013,Manufacture of other machinery and equipment nec,2
March 2013,Manufacture of motor vehicles and trailers,1
March 2013,Manufacture of other vehicles,14
March 2013,Manufacture of furniture and fittings,2
March 2013,Production; nec,15
March 2013,Repair and installation of hardware and equipment,11
March 2013,Electricity; gas and heating utilities; refrigeration and ventilation systems,22
March 2013,Water supply; collection and treatment of water,24
March 2013,Garbage collection; treatment and disposal of waste; material reuse,50
March 2013,Decontamination and other waste treatment services,
March 2013,Housing construction; development of construction projects,
March 2013,Civil engineering,45
March 2013,Specialized construction activities,
